,SUBURB,Mean House Price,Median House Price,Variance House Price,Standard Deviation House Price,SEM House Price,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE,Lat_precise,Long_precise,state,postcode
103,DOUBLEVIEW,836239.5833,777750,83669184101,289256.2603,29522.09344,1.822916667,3.34375,2.020833333,513.6145833,1986,9619.791667,2237.5,2019,-31.8999114,115.7812494,WA,6018
104,DUNCRAIG,713762.3656,650000,38697727807,196717.3805,20398.64211,1.838709677,3.795698925,1.946236559,710,1983,15490.32258,1550.451613,2019,-31.8306124,115.7752703,WA,6023
105,EAST CANNINGTON,507159.2478,495000,18275366133,135186.4125,12717.26794,1.796460177,3.716814159,2.256637168,773.4690265,1993,11264.60177,1480.132743,2016,-32.0056699,115.9633174,WA,6107
106,EAST FREMANTLE,1122097.5,1047500,1.85327E+11,430495.9069,43049.59069,1.82,3.43,2.04,807.29,1963,13095,1909.79,2018,-32.0367504,115.7663951,WA,6158
107,EAST PERTH,510181.8182,455000,56709163636,238136.859,71800.96456,1.636363636,2.545454545,1.545454545,1363.727273,1997,1590.909091,603.7272727,2019,-31.9540106,115.8787926,WA,6004
108,EAST PERTH,510181.8182,455000,56709163636,238136.859,71800.96456,1.636363636,2.545454545,1.545454545,1363.727273,1997,1590.909091,603.7272727,2019,-31.9607635,115.8745971,WA,6892
109,EAST VICTORIA PARK,651532.4494,639000,22375452987,149584.2672,15855.90061,1.629213483,3.269662921,2.06741573,526,1970,5811.235955,1348.685393,2018,-31.9846562,115.9083631,WA,6101
110,EAST VICTORIA PARK,651532.4494,639000,22375452987,149584.2672,15855.90061,1.629213483,3.269662921,2.06741573,526,1970,5811.235955,1348.685393,2018,-31.9889419,115.9060249,WA,6981
111,EDEN HILL,467236.7347,461500,10566882967,102795.3451,10383.89794,1.459183673,3.285714286,2.714285714,897.255102,1980,10582.65306,1515.836735,2016,-31.8906446,115.9421817,WA,6054
112,EDGEWATER,560366.25,559000,10458878032,102268.6562,9335.808317,1.841666667,3.808333333,1.891666667,788.7083333,1986,22014.16667,1127.2,2016,-31.7647978,115.781458,WA,6027
113,EGLINTON,391879.7368,394000,11786127205,108563.9314,12453.137,1.934210526,3.605263158,1.605263158,643.4210526,2011,43557.89474,5310.526316,2017,-31.5877637,115.6687491,WA,6034
114,ELLENBROOK,388606.4516,380000,8747746711,93529.38956,7512.461351,1.941935484,3.825806452,2,566.2967742,2002,22374.83871,13577.41935,2019,-31.7645555,116.005922,WA,6069
115,EMBLETON,524185.8586,520000,14076685104,118645.2068,11924.29195,1.585858586,3.222222222,1.939393939,587.020202,1984,7238.383838,1777.777778,2016,-31.90313,115.9104907,WA,6062
116,FERNDALE,460006.25,464000,9342889141,96658.62166,8823.684577,1.508333333,3.55,2.283333333,1016.45,1979,10787.5,3127.5,2016,-32.0307555,115.9253485,WA,6148
117,FLOREAT,1476393.701,1475000,1.52642E+11,390694.3434,34668.51688,2.181102362,3.921259843,2.149606299,798.0472441,1973,6300.787402,3100.787402,2018,-31.9344265,115.7906461,WA,6014
